

2016年01月07日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="03035X","元展32          ","60000","2","318000","5.3","5.3","5.3","5.3","-","0.2","5.55","10","5.65","10","25.25"
="03037X","元展34          ","82000","3","504400","6.15","6.2","6.15","6.2","+","0.15","6.05","10","6.15","10","18.6"
="03038X","元展35          ","10000","1","70500","7.05","7.05","7.05","7.05","-","0.55","7","10","7.1","10","65.7"
="03039X","元展36          ","0","0","0","--","--","--","--"," ","0","4.99","10","5.05","10","268"
="03040X","元展37          ","138000","9","591380","4.29","4.33","4.09","4.09","-","0.27","4.09","6","4.13","10","11.45"
="030419","3F元富          ","0","0","0","--","--","--","--"," ","0","0.01","25","0.02","5","16.21"
="03041X","元展38          ","80000","4","324970","4","4.22","4","4.19","-","0.14","4.26","10","4.29","10","148"
="03042F","06群益          ","0","0","0","--","--","--","--"," ","0","0.15","100","0.16","100","0.00"
="03042X","元展39          ","0","0","0","--","--","--","--"," ","0","7.45","10","7.55","10","35.85"
="03043F","B5群益          ","25000","1","14750","0.59","0.59","0.59","0.59","X","0","0.57","100","0.58","100","0.00"
="03043X","元展40          ","25000","2","239350","9.55","9.6","9.55","9.6","+","0.05","9.6","10","9.85","10","52.2"
="03044F","B6群益          ","0","0","0","--","--","--","--"," ","0","1.19","200","1.2","200","0.00"
="03044X","元展41          ","0","0","0","--","--","--","--"," ","0","5.5","10","5.6","10","16.9"
="030453","統一M1          ","10000","1","1000","0.1","0.1","0.1","0.1","-","0.01","0.03","10","0.08","248","26.49"
="03046X","元展43          ","42000","6","104300","2.7","2.7","2.36","2.36","-","0.36","2.49","10","2.5","10","48.75"
="03047X","元展44          ","191000","6","257970","1.36","1.37","1.2","1.2","-","0.18","1.24","10","1.25","10","6.99"
="03048X","元展45          ","40000","3","73900","1.87","1.87","1.82","1.82","-","0.06","1.79","10","1.8","10","14.85"
="03049X","元展46          ","0","0","0","--","--","--","--"," ","0","2.56","10","2.62","10","46.8"
="03050X","元展47          ","1227000","72","2870310","2.5","2.5","2.21","2.29","-","0.22","2.28","21","2.29","10","39.55"
="03051X","元展48          ","0","0","0","--","--","--","--"," ","0","10","10","10.1","10","53.8"
="030529","統一M4          ","130000","1","1300","0.01","0.01","0.01","0.01","X","0","0.01","3,146","0.02","559","9.53"
="03052X","元展49          ","0","0","0","--","--","--","--"," ","0","9.95","10","10.1","10","73"
="030535","統一N1          ","0","0","0","--","--","--","--"," ","0","--","0","0.1","60","49.8"
="030536","統一N2          ","0","0","0","--","--","--","--"," ","0","0.01","10","0.1","10","139"
="030537","統一N3          ","30000","3","13500","0.45","0.45","0.45","0.45","X","0","0.48","20","0.51","10","366"
="03053X","元展50          ","10000","1","51000","5.1","5.1","5.1","5.1","-","0.1","5.1","10","5.2","20","97.5"
="03054X","元展51          ","0","0","0","--","--","--","--"," ","0","8.4","10","8.45","10","65.6"
="030557","3X元富          ","140000","2","1400","0.01","0.01","0.01","0.01","X","0","0.01","25","0.02","27","39.65"
="030559","3Z元富          ","0","0","0","--","--","--","--"," ","0","--","0","0.03","196","133"
="03055X","元展52          ","0","0","0","--","--","--","--"," ","0","6.25","10","6.35","10","54.9"
="03057X","ML展02          ","113000","4","338820","3","3","2.91","2.91","X","0","2.86","25","2.96","25","11.15"
="03058X","元展53          ","8000","5","143100","18.2","18.2","17.4","17.4","X","0","17.6","10","17.8","10","133"
="03059X","元展54          ","0","0","0","--","--","--","--"," ","0","8.05","10","8.1","10","17.45"
="03060X","元展55          ","1000","1","7000","7","7","7","7","-","0.1","7.05","10","7.15","10","69"
="03061X","元展56          ","0","0","0","--","--","--","--"," ","0","25.1","10","25.2","10","99.2"
="03062X","元展57          ","22000","3","228900","10.4","10.5","10.4","10.5","-","1","10.8","10","11.1","10","416"
="030636","統一N4          ","5000","1","150","0.03","0.03","0.03","0.03","+","0.01","0.01","410","0.03","226","133"
="030638","統一N6          ","0","0","0","--","--","--","--"," ","0","0.01","10","0.1","10","28.1"
="030639","統一N7          ","13000","2","130","0.01","0.01","0.01","0.01","-","0.08","0.01","10","0.04","39","28.1"
="03063X","元展58          ","324000","33","2607600","8.85","8.85","7.4","7.65","-","1.6","7.65","1","7.7","10","1830"
